기능	경로	활동	no	page_id	click_type	act_type	click_text	keys_combined	values_combined	key_count	keys-정답
챌린지 ios	챌린지/지금뜨는챌린지	상세 챌린지 클릭	27	challenge/all_challenge_list	상세 챌린지	click	오글거린다는 말로 하지 못했던 나의 감정을 손으로 적어보세요. 낭만이 있던 그때의 그 모습도 좋았잖아요	channel, click_text	Rround, 오글거린다는 말로 하지 못했던 나의 감정을 손으로 적어보세요. 낭만이 있던 그때의 그 모습도 좋았잖아요	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,chal_order,challengeName,challengeSeq,mainTitle,activeParticipantCount,sticker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
챌린지 ios	챌린지/지금뜨는챌린지	상세 피드 클릭	29	challenge/all_challenge_list	챌린지 피드	click	&lt;null&gt;	channel, click_text	Rround, &lt;null&gt;	2	page_id,act_type,channel,click_text,click_type,chal_order,profileSeq,vertifyCount,feedTitle,feedSeq
챌린지 ios	챌린지/지금뜨는챌린지	지금 뜨는 챌린지 : 탭 "전체" 클릭 누락									
챌린지 ios	챌린지/지금뜨는챌린지	카테고리 탭 클릭텍스트 이상									
챌린지 ios	챌린지/지금뜨는챌린지	지금뜨는챌린지  > 드롭다운 로그 누락									
챌린지 ios	메인/챌린지상세	상세 피드 클릭	35	challenge/challenge_detail	피드	click	클릭 텍스트	channel, click_text	Rround, 클릭 텍스트	2	page_id,act_type,channel,click_text,click_type,list_title,list_order,profileSeq,vertifyCount,feedTitle,feedSeq
챌린지 ios	메인/챌린지상세	인증하기, 기록하기 등 챌린지 인증버튼 클릭	36	challenge/challenge_detail	CTA	click	클릭 텍스트	channel, click_text, cta_text	Rround, 클릭 텍스트, 인증하기	3	page_id,act_type,channel,click_text,click_type,cta_text
챌린지 ios	메인/챌린지상세	검색 돋보기 클릭	40	challenge/challenge_detail	상품 태그	popup_click	돋보기	channel, click_text	Rround, 돋보기	2	page_id,act_type,channel,click_text,click_type,kwd_text,kwd_type
챌린지 ios	메인/챌린지상세	상품 선택 완료 클릭	42	challenge/challenge_detail	상품 태그	popup_click	클릭 텍스트	channel, click_text, prd_name, cta_text	Rround, 클릭 텍스트, NK01 네일케어 7종키트, 상품 선택 완료	4	page_id,act_type,channel,click_text,click_type,cta_text,prd_name,goodsId
챌린지 ios	메인/챌린지상세	상품태그 칩버튼	43	challenge/challenge_detail	상품 태그	popup_click	찜 목록	channel, click_text	Rround, 찜 목록	2	page_id,act_type,channel,click_text,click_type,cta_text
챌린지 ios	메인/챌린지상세	상품태그 칩버튼	44	challenge/challenge_detail	상품 태그	popup_click	장바구니	channel, click_text	Rround, 장바구니	2	page_id,act_type,channel,click_text,click_type,cta_text
챌린지 ios	메인/챌린지상세	상품태그 칩버튼	45	challenge/challenge_detail	상품 태그	popup_click	최근 구매	channel, click_text	Rround, 최근 구매	2	page_id,act_type,channel,click_text,click_type,cta_text
챌린지 ios	메인/챌린지상세	인증 완료 팝업	49	challenge/challenge_detail		popup_imp		channel, popup_msg, popup_title	"Rround, 챌린지 데일리 보상을 받았어요
다른 챌린지도 인증하고
베스트 챌린저에 도전하세요 👏, 42원 획득!"	3	page_id, popup_id, popup_title, popup_msg
챌린지 ios	메인/챌린지상세	인증 완료 확인 클릭	51	challenge/challenge_detail	챌린지 상세	popup_click	클릭 텍스트	channel, click_text, popup_msg, popup_title, cta_text	"Rround, 클릭 텍스트, 챌린지 데일리 보상을 받았어요
다른 챌린지도 인증하고
베스트 챌린저에 도전하세요 👏, 42원 획득!, 확인"	5	page_id, popup_id, popup_title, popup_msg, cta_text, reward_price
챌린지 ios	메인/챌린지검색	챌린지 검색 관련 기능 전체 누락									
